player;team;league;AVR;ATbase;ATbats;HIT;HR;RBI;walk;K;salary;salary_log;Cluster
81;7;2;0.248;185;161;40;2;15;14;27;35;3.555348061;4
82;7;2;0.288;184;156;45;2;16;12;25;27;3.295836866;4
83;8;2;0.308;638;571;176;4;61;59;61;77;4.343805422;1
84;8;2;0.3;625;566;170;19;68;46;97;500;6.214608098;2
85;8;2;0.24;662;551;132;3;42;41;104;70;4.248495242;2
86;8;2;0.317;615;524;166;15;70;72;131;90;4.49980967;2
87;8;2;0.307;534;488;150;18;74;34;48;300;5.703782475;2
88;8;2;0.3;541;473;142;6;55;54;95;200;5.298317367;2
89;8;2;0.301;423;392;118;18;56;24;80;220;5.393627546;2
90;8;2;0.291;398;344;100;0;21;33;47;180;5.192956851;2
91;8;2;0.252;273;250;63;1;21;13;54;45;3.80666249;4
92;8;2;0.19;294;247;47;5;32;12;83;100;4.605170186;2
93;8;2;0.296;192;162;48;5;29;24;28;45;3.80666249;4
94;8;2;0.216;190;162;35;0;25;7;23;76;4.33073334;4
95;9;2;0.287;610;533;153;3;43;45;57;70;4.248495242;1
96;9;2;0.238;478;453;108;16;61;18;47;85;4.442651256;2
97;9;2;0.277;544;451;125;8;57;76;66;71;4.262679877;1
98;9;2;0.27;478;445;120;10;54;23;43;200;5.298317367;2
99;9;2;0.238;408;357;85;10;49;40;74;180;5.192956851;2
100;9;2;0.253;342;320;81;3;18;8;71;21;3.044522438;2
101;9;2;0.275;249;222;61;0;9;14;32;40;3.688879454;4
102;9;2;0.248;249;218;54;4;25;27;60;130;4.86753445;4
103;9;2;0.197;224;198;39;2;21;15;55;59;4.077537444;4
104;9;2;0.27;210;185;50;4;28;20;51;26;3.258096538;4
105;9;2;0.311;182;161;50;12;33;16;36;250;5.521460918;2
106;9;2;0.261;155;142;37;3;12;8;14;27;3.295836866;4
107;10;2;0.283;618;545;154;7;53;57;71;50;3.912023005;1
108;10;2;0.269;579;517;139;2;36;16;55;110;4.700480366;1
109;10;2;0.327;509;459;150;4;70;43;45;90;4.49980967;1
110;10;2;0.221;581;448;99;24;71;118;140;42;3.737669618;3
111;10;2;0.291;488;444;129;8;46;36;78;160;5.075173815;2
112;10;2;0.25;415;372;93;7;41;24;100;18;2.890371758;2
113;10;2;0.263;432;350;92;1;36;65;84;120;4.787491743;2
114;10;2;0.242;243;215;52;2;18;19;22;30;3.401197382;4
115;10;2;0.219;251;210;46;5;31;35;66;40;3.688879454;2
116;10;2;0.234;204;184;43;2;17;12;18;31;3.433987204;4
117;10;2;0.264;209;182;48;1;17;20;46;78;4.356708827;4
118;11;2;0.288;642;532;153;3;61;96;100;240;5.480638923;3
119;11;2;0.259;561;475;123;4;47;70;98;65;4.17438727;2
120;11;2;0.273;501;440;120;14;55;47;100;78;4.356708827;2
121;11;2;0.29;450;396;115;34;73;45;156;180;5.192956851;3
122;11;2;0.257;466;382;98;34;90;79;124;380;5.940171253;3
123;11;2;0.202;423;381;77;7;36;17;74;90;4.49980967;2
124;11;2;0.26;429;350;91;0;26;32;46;59;4.077537444;2
125;11;2;0.215;330;284;61;10;27;20;112;17;2.833213344;2
126;11;2;0.247;272;243;60;2;16;14;48;26;3.258096538;4
127;11;2;0.263;233;205;54;2;20;15;45;24;3.17805383;4
128;11;2;0.252;173;147;37;0;13;16;42;25;3.218875825;4
129;12;2;0.265;637;555;147;8;57;63;139;48;3.871201011;2
130;12;2;0.269;602;531;143;27;100;58;89;200;5.298317367;2
131;12;2;0.293;540;471;138;25;85;45;108;180;5.192956851;2
132;12;2;0.245;512;432;106;5;47;51;98;100;4.605170186;2
133;12;2;0.259;461;382;99;0;32;43;92;40;3.688879454;2
134;12;2;0.227;427;375;85;14;57;42;108;50;3.912023005;2
135;12;2;0.258;291;264;68;4;28;15;45;18;2.890371758;4
136;12;2;0.174;304;259;45;6;19;19;52;43;3.761200116;4
137;12;2;0.296;274;243;72;4;29;22;40;70;4.248495242;4
138;12;2;0.274;234;212;58;10;31;21;48;100;4.605170186;2
139;12;2;0.268;175;164;44;2;11;9;56;10;2.302585093;4
140;12;2;0.263;166;137;36;2;9;6;22;17;2.833213344;4
